"Date & Time","Sender ID","Sender Type","Contact ID","Message ID","Content Type","Message Type","Content","Channel ID","Type","Sub Type"
"2023-11-05 22:13:41","124155988","contact","124155988","1699240421000006","text","incoming","{""type"":""text"",""text"":""Quiero información sobre motos Bajaj""}","111839",,
"2023-11-05 21:34:33","124152657","contact","124152657","1699238073000006","text","incoming","{""type"":""text"",""text"":""Precio""}","111839",,
"2023-11-05 21:35:23","124152728","contact","124152728","1699238123000006","text","incoming","{""type"":""text"",""text"":""Deseo facilidades de pago""}","111839",,
"2023-11-05 22:07:04","1698086170918027","workflow","124155330","1699240024223770","text","outgoing","{""type"":""text"",""text"":""Martin Del Piero , BAJAJ tiene la moto que se ajusta a tus necesidades. Revisa nuestro catálogo.""}","111839",,
"2023-11-05 22:07:06","1698086170918027","workflow","124155330","1699240026780338","attachment","outgoing","{""type"":""attachment"",""attachment"":{""size"":2081232,""mimeType"":""application/pdf"",""ext"":""pdf"",""fileName"":""Catalogo Noviembre Motos.pdf"",""description"":"""",""type"":""file"",""isPending"":false,""isFileTypeSupported"":true,""url"":""https://production--bucket.s3-accelerate.amazonaws.com/files/58868/275674/1699046652395/catalogo_noviembre_motos.pdf"",""hasExceededFileSizeLimit"":false}}","111839",,
"2023-11-05 22:07:17","1698086170918027","workflow","124155330","1699240037323521","text","outgoing","{""type"":""text"",""text"":""Martin Del Piero , revisa el catálogo completo en https://bit.ly/CatologoCS""}","111839",,
"2023-11-05 22:07:25","1698086170918027","workflow","124155330","1699240045389348","quick_reply","outgoing","{""type"":""quick_reply"",""title"":""En Crosland ofrecemos diferentes opciones de compra para adaptarnos a tus necesidades y preferencias.\n\nComéntanos, cómo te gustaría hacer la compra y te brindaremos información sobre ello.\n\n(Selecciona una opción 👇)"",""replies"":[""Crédito financiado"",""Al Contado""]}","111839",,
"2023-11-05 20:14:29","124145626","contact","124145626","1699233269000006","text","incoming","{""type"":""text"",""text"":""Deseo facilidades de pago""}","111839",,
"2023-11-05 19:55:46","124144206","contact","124144206","1699232146000006","text","incoming","{""type"":""text"",""text"":""Quiero información sobre motos Bajaj""}","111839",,
"2023-11-05 20:23:58","124146067","contact","124146067","1699233838000000","text","incoming","{""type"":""text"",""text"":""Esta bien""}","111839",,
"2023-11-05 20:24:02","124146067","contact","124146067","1699233842000000","text","incoming","{""type"":""text"",""text"":""Muchas gracias""}","111839",,
"2023-11-05 19:01:14","124140772","contact","124140772","1699228874000006","text","incoming","{""type"":""text"",""text"":""Deseo facilidades de pago""}","111839",,
"2023-11-05 21:14:33","124150077","contact","124150077","1699236873000000","text","incoming","{""type"":""text"",""text"":""Hola""}","111839",,
"2023-11-05 21:14:36","1698086170918027","workflow","124150077","1699236876733185","text","outgoing","{""type"":""text"",""text"":""¡Hola Janice Cardenas🩸! 🏍️ ¡Qué bueno que te hayas puesto en contacto con nosotros en Crosland , importadores exclusivos de BAJAJ en el Perú! 😁""}","111839",,
"2023-11-05 21:14:39","1698086170918027","workflow","124150077","1699236879543118","quick_reply","outgoing","{""type"":""quick_reply"",""title"":""¿Cómo te puedo ayudar el día de hoy?. 🤖\n\n➡️Venta Motocicletas\n➡️Venta Mototaxis\n➡️Repuestos\n➡️Accesorios\n➡️Status de Pedidos\n➡️Reclamos\n\n(Selecciona un botón 👇)"",""replies"":[""Venta Motocicletas"",""Venta Mototaxis"",""Repuestos"",""Accesorios"",""Status de Pedidos"",""Reclamos""]}","111839",,
"2023-11-05 21:14:52","124150077","contact","124150077","1699236892000000","text","incoming","{""type"":""text"",""text"":""Venta Motocicletas""}","111839",,
"2023-11-05 21:14:56","1698086170918027","workflow","124150077","1699236896672895","text","outgoing","{""type"":""text"",""text"":""Janice Cardenas🩸 , BAJAJ tiene la moto que se ajusta a tus necesidades. Revisa nuestro catálogo.""}","111839",,
"2023-11-05 21:14:59","1698086170918027","workflow","124150077","1699236899485128","attachment","outgoing","{""type"":""attachment"",""attachment"":{""size"":2081232,""mimeType"":""application/pdf"",""ext"":""pdf"",""fileName"":""Catalogo Noviembre Motos.pdf"",""description"":"""",""type"":""file"",""isPending"":false,""isFileTypeSupported"":true,""url"":""https://production--bucket.s3-accelerate.amazonaws.com/files/58868/275674/1699046652395/catalogo_noviembre_motos.pdf"",""hasExceededFileSizeLimit"":false}}","111839",,
"2023-11-05 21:15:09","1698086170918027","workflow","124150077","1699236909567938","text","outgoing","{""type"":""text"",""text"":""Janice Cardenas🩸 , revisa el catálogo completo en https://bit.ly/CatologoCS""}","111839",,
"2023-11-05 21:26:50","124150077","contact","124150077","1699237610000000","text","incoming","{""type"":""text"",""text"":""Crédito financiado""}","111839",,
